dateday,season,year,month,count
2011-01-01,spring,2011,Jan,985
2011-01-02,spring,2011,Jan,801
2011-01-03,spring,2011,Jan,1349
2011-01-04,spring,2011,Jan,1562
2011-01-05,spring,2011,Jan,1600
2011-01-06,spring,2011,Jan,1606
2011-01-07,spring,2011,Jan,1510
2011-01-08,spring,2011,Jan,959
2011-01-09,spring,2011,Jan,822
2011-01-10,spring,2011,Jan,1321
2011-01-11,spring,2011,Jan,1263
2011-01-12,spring,2011,Jan,1162
2011-01-13,spring,2011,Jan,1406
2011-01-14,spring,2011,Jan,1421
2011-01-15,spring,2011,Jan,1248
2011-01-16,spring,2011,Jan,1204
2011-01-17,spring,2011,Jan,1000
2011-01-18,spring,2011,Jan,683
2011-01-19,spring,2011,Jan,1650
2011-01-20,spring,2011,Jan,1927
2011-01-21,spring,2011,Jan,1543
2011-01-22,spring,2011,Jan,981
2011-01-23,spring,2011,Jan,986
2011-01-24,spring,2011,Jan,1416
2011-01-25,spring,2011,Jan,1985
2011-01-26,spring,2011,Jan,506
2011-01-27,spring,2011,Jan,431
2011-01-28,spring,2011,Jan,1167
2011-01-29,spring,2011,Jan,1098
2011-01-30,spring,2011,Jan,1096
2011-01-31,spring,2011,Jan,1501
2011-02-01,spring,2011,Feb,1360
2011-02-02,spring,2011,Feb,1526
2011-02-03,spring,2011,Feb,1550
2011-02-04,spring,2011,Feb,1708
2011-02-05,spring,2011,Feb,1005
2011-02-06,spring,2011,Feb,1623
2011-02-07,spring,2011,Feb,1712
2011-02-08,spring,2011,Feb,1530
2011-02-09,spring,2011,Feb,1605
2011-02-10,spring,2011,Feb,1538
2011-02-11,spring,2011,Feb,1746
2011-02-12,spring,2011,Feb,1472
2011-02-13,spring,2011,Feb,1589
2011-02-14,spring,2011,Feb,1913
2011-02-15,spring,2011,Feb,1815
2011-02-16,spring,2011,Feb,2115
2011-02-17,spring,2011,Feb,2475
2011-02-18,spring,2011,Feb,2927
2011-02-19,spring,2011,Feb,1635
2011-02-20,spring,2011,Feb,1812
2011-02-21,spring,2011,Feb,1107
2011-02-22,spring,2011,Feb,1450
2011-02-23,spring,2011,Feb,1917
2011-02-24,spring,2011,Feb,1807
2011-02-25,spring,2011,Feb,1461
2011-02-26,spring,2011,Feb,1969
2011-02-27,spring,2011,Feb,2402
2011-02-28,spring,2011,Feb,1446
2011-03-01,spring,2011,Mar,1851
2011-03-02,spring,2011,Mar,2134
2011-03-03,spring,2011,Mar,1685
2011-03-04,spring,2011,Mar,1944
2011-03-05,spring,2011,Mar,2077
2011-03-06,spring,2011,Mar,605
2011-03-07,spring,2011,Mar,1872
2011-03-08,spring,2011,Mar,2133
2011-03-09,spring,2011,Mar,1891
2011-03-10,spring,2011,Mar,623
2011-03-11,spring,2011,Mar,1977
2011-03-12,spring,2011,Mar,2132
2011-03-13,spring,2011,Mar,2417
2011-03-14,spring,2011,Mar,2046
2011-03-15,spring,2011,Mar,2056
2011-03-16,spring,2011,Mar,2192
2011-03-17,spring,2011,Mar,2744
2011-03-18,spring,2011,Mar,3239
2011-03-19,spring,2011,Mar,3117
2011-03-20,spring,2011,Mar,2471
2011-03-21,summer,2011,Mar,2077
2011-03-22,summer,2011,Mar,2703
2011-03-23,summer,2011,Mar,2121
2011-03-24,summer,2011,Mar,1865
2011-03-25,summer,2011,Mar,2210
2011-03-26,summer,2011,Mar,2496
2011-03-27,summer,2011,Mar,1693
2011-03-28,summer,2011,Mar,2028
2011-03-29,summer,2011,Mar,2425
2011-03-30,summer,2011,Mar,1536
2011-03-31,summer,2011,Mar,1685
2011-04-01,summer,2011,Apr,2227
2011-04-02,summer,2011,Apr,2252
2011-04-03,summer,2011,Apr,3249
2011-04-04,summer,2011,Apr,3115
2011-04-05,summer,2011,Apr,1795
2011-04-06,summer,2011,Apr,2808
2011-04-07,summer,2011,Apr,3141
2011-04-08,summer,2011,Apr,1471
2011-04-09,summer,2011,Apr,2455
2011-04-10,summer,2011,Apr,2895
2011-04-11,summer,2011,Apr,3348
2011-04-12,summer,2011,Apr,2034
2011-04-13,summer,2011,Apr,2162
2011-04-14,summer,2011,Apr,3267
2011-04-15,summer,2011,Apr,3126
2011-04-16,summer,2011,Apr,795
2011-04-17,summer,2011,Apr,3744
2011-04-18,summer,2011,Apr,3429
2011-04-19,summer,2011,Apr,3204
2011-04-20,summer,2011,Apr,3944
2011-04-21,summer,2011,Apr,4189
2011-04-22,summer,2011,Apr,1683
2011-04-23,summer,2011,Apr,4036
2011-04-24,summer,2011,Apr,4191
2011-04-25,summer,2011,Apr,4073
2011-04-26,summer,2011,Apr,4400
2011-04-27,summer,2011,Apr,3872
2011-04-28,summer,2011,Apr,4058
2011-04-29,summer,2011,Apr,4595
2011-04-30,summer,2011,Apr,5312
2011-05-01,summer,2011,May,3351
2011-05-02,summer,2011,May,4401
2011-05-03,summer,2011,May,4451
2011-05-04,summer,2011,May,2633
2011-05-05,summer,2011,May,4433
2011-05-06,summer,2011,May,4608
