dateday,season,month,hour,holiday,weekday,workingday,weather,casual,registered,count
2011-01-01,spring,Jan,Dini Hari,0,Sabtu,0,Clear/Partly Cloudy,3,13,16
2011-01-01,spring,Jan,Dini Hari,0,Sabtu,0,Clear/Partly Cloudy,8,32,40
2011-01-01,spring,Jan,Dini Hari,0,Sabtu,0,Clear/Partly Cloudy,5,27,32
2011-01-01,spring,Jan,Dini Hari,0,Sabtu,0,Clear/Partly Cloudy,3,10,13
2011-01-01,spring,Jan,Dini Hari,0,Sabtu,0,Clear/Partly Cloudy,0,1,1
2011-01-01,spring,Jan,Dini Hari,0,Sabtu,0,Misty/Cloudy,0,1,1
2011-01-01,spring,Jan,Pagi,0,Sabtu,0,Clear/Partly Cloudy,2,0,2
2011-01-01,spring,Jan,Pagi,0,Sabtu,0,Clear/Partly Cloudy,1,2,3
2011-01-01,spring,Jan,Pagi,0,Sabtu,0,Clear/Partly Cloudy,1,7,8
2011-01-01,spring,Jan,Pagi,0,Sabtu,0,Clear/Partly Cloudy,8,6,14
2011-01-01,spring,Jan,Pagi,0,Sabtu,0,Clear/Partly Cloudy,12,24,36
2011-01-01,spring,Jan,Pagi,0,Sabtu,0,Clear/Partly Cloudy,26,30,56
2011-01-01,spring,Jan,Siang,0,Sabtu,0,Clear/Partly Cloudy,29,55,84
2011-01-01,spring,Jan,Siang,0,Sabtu,0,Misty/Cloudy,47,47,94
2011-01-01,spring,Jan,Siang,0,Sabtu,0,Misty/Cloudy,35,71,106
2011-01-01,spring,Jan,Siang,0,Sabtu,0,Misty/Cloudy,40,70,110
2011-01-01,spring,Jan,Siang,0,Sabtu,0,Misty/Cloudy,41,52,93
2011-01-01,spring,Jan,Siang,0,Sabtu,0,Misty/Cloudy,15,52,67
2011-01-01,spring,Jan,Malam,0,Sabtu,0,Light Snow/Rain,9,26,35
2011-01-01,spring,Jan,Malam,0,Sabtu,0,Light Snow/Rain,6,31,37
2011-01-01,spring,Jan,Malam,0,Sabtu,0,Misty/Cloudy,11,25,36
2011-01-01,spring,Jan,Malam,0,Sabtu,0,Misty/Cloudy,3,31,34
2011-01-01,spring,Jan,Malam,0,Sabtu,0,Misty/Cloudy,11,17,28
2011-01-01,spring,Jan,Malam,0,Sabtu,0,Misty/Cloudy,15,24,39
2011-01-02,spring,Jan,Dini Hari,0,Minggu,0,Misty/Cloudy,4,13,17
2011-01-02,spring,Jan,Dini Hari,0,Minggu,0,Misty/Cloudy,1,16,17
2011-01-02,spring,Jan,Dini Hari,0,Minggu,0,Misty/Cloudy,1,8,9
2011-01-02,spring,Jan,Dini Hari,0,Minggu,0,Misty/Cloudy,2,4,6
2011-01-02,spring,Jan,Dini Hari,0,Minggu,0,Misty/Cloudy,2,1,3
2011-01-02,spring,Jan,Pagi,0,Minggu,0,Light Snow/Rain,0,2,2
