dateday,season,year,month,hour,count
2011-01-01,spring,2011,Jan,0,16
2011-01-01,spring,2011,Jan,1,40
2011-01-01,spring,2011,Jan,2,32
2011-01-01,spring,2011,Jan,3,13
2011-01-01,spring,2011,Jan,4,1
2011-01-01,spring,2011,Jan,5,1
2011-01-01,spring,2011,Jan,6,2
2011-01-01,spring,2011,Jan,7,3
2011-01-01,spring,2011,Jan,8,8
2011-01-01,spring,2011,Jan,9,14
2011-01-01,spring,2011,Jan,10,36
2011-01-01,spring,2011,Jan,11,56
2011-01-01,spring,2011,Jan,12,84
2011-01-01,spring,2011,Jan,13,94
2011-01-01,spring,2011,Jan,14,106
2011-01-01,spring,2011,Jan,15,110
2011-01-01,spring,2011,Jan,16,93
2011-01-01,spring,2011,Jan,17,67
2011-01-01,spring,2011,Jan,18,35
2011-01-01,spring,2011,Jan,19,37
2011-01-01,spring,2011,Jan,20,36
2011-01-01,spring,2011,Jan,21,34
2011-01-01,spring,2011,Jan,22,28
2011-01-01,spring,2011,Jan,23,39
2011-01-02,spring,2011,Jan,0,17
2011-01-02,spring,2011,Jan,1,17
2011-01-02,spring,2011,Jan,2,9
2011-01-02,spring,2011,Jan,3,6
2011-01-02,spring,2011,Jan,4,3
2011-01-02,spring,2011,Jan,6,2
2011-01-02,spring,2011,Jan,7,1
2011-01-02,spring,2011,Jan,8,8
2011-01-02,spring,2011,Jan,9,20
2011-01-02,spring,2011,Jan,10,53
2011-01-02,spring,2011,Jan,11,70
2011-01-02,spring,2011,Jan,12,93
2011-01-02,spring,2011,Jan,13,75
2011-01-02,spring,2011,Jan,14,59
2011-01-02,spring,2011,Jan,15,74
2011-01-02,spring,2011,Jan,16,76
2011-01-02,spring,2011,Jan,17,65
2011-01-02,spring,2011,Jan,18,53
2011-01-02,spring,2011,Jan,19,30
2011-01-02,spring,2011,Jan,20,22
2011-01-02,spring,2011,Jan,21,31
2011-01-02,spring,2011,Jan,22,9
2011-01-02,spring,2011,Jan,23,8
2011-01-03,spring,2011,Jan,0,5
2011-01-03,spring,2011,Jan,1,2
2011-01-03,spring,2011,Jan,4,1
2011-01-03,spring,2011,Jan,5,3
2011-01-03,spring,2011,Jan,6,30
2011-01-03,spring,2011,Jan,7,64
2011-01-03,spring,2011,Jan,8,154
2011-01-03,spring,2011,Jan,9,88
2011-01-03,spring,2011,Jan,10,44
2011-01-03,spring,2011,Jan,11,51
2011-01-03,spring,2011,Jan,12,61
2011-01-03,spring,2011,Jan,13,61
2011-01-03,spring,2011,Jan,14,77
2011-01-03,spring,2011,Jan,15,72
2011-01-03,spring,2011,Jan,16,76
2011-01-03,spring,2011,Jan,17,157
2011-01-03,spring,2011,Jan,18,157
2011-01-03,spring,2011,Jan,19,110
2011-01-03,spring,2011,Jan,20,52
2011-01-03,spring,2011,Jan,21,52
2011-01-03,spring,2011,Jan,22,20
2011-01-03,spring,2011,Jan,23,12
2011-01-04,spring,2011,Jan,0,5
2011-01-04,spring,2011,Jan,1,2
2011-01-04,spring,2011,Jan,2,1
2011-01-04,spring,2011,Jan,4,2
2011-01-04,spring,2011,Jan,5,4
2011-01-04,spring,2011,Jan,6,36
2011-01-04,spring,2011,Jan,7,94
2011-01-04,spring,2011,Jan,8,179
2011-01-04,spring,2011,Jan,9,100
2011-01-04,spring,2011,Jan,10,42
2011-01-04,spring,2011,Jan,11,57
2011-01-04,spring,2011,Jan,12,78
2011-01-04,spring,2011,Jan,13,97
2011-01-04,spring,2011,Jan,14,63
2011-01-04,spring,2011,Jan,15,65
2011-01-04,spring,2011,Jan,16,83
2011-01-04,spring,2011,Jan,17,212
2011-01-04,spring,2011,Jan,18,182
2011-01-04,spring,2011,Jan,19,112
2011-01-04,spring,2011,Jan,20,54
2011-01-04,spring,2011,Jan,21,48
2011-01-04,spring,2011,Jan,22,35
2011-01-04,spring,2011,Jan,23,11
2011-01-05,spring,2011,Jan,0,6
2011-01-05,spring,2011,Jan,1,6
2011-01-05,spring,2011,Jan,2,2
2011-01-05,spring,2011,Jan,4,2
2011-01-05,spring,2011,Jan,5,3
2011-01-05,spring,2011,Jan,6,33
2011-01-05,spring,2011,Jan,7,88
2011-01-05,spring,2011,Jan,8,195
2011-01-05,spring,2011,Jan,9,115
2011-01-05,spring,2011,Jan,10,57
2011-01-05,spring,2011,Jan,11,46
2011-01-05,spring,2011,Jan,12,79
2011-01-05,spring,2011,Jan,13,71
2011-01-05,spring,2011,Jan,14,62
2011-01-05,spring,2011,Jan,15,62
2011-01-05,spring,2011,Jan,16,89
2011-01-05,spring,2011,Jan,17,190
2011-01-05,spring,2011,Jan,18,169
2011-01-05,spring,2011,Jan,19,132
2011-01-05,spring,2011,Jan,20,89
2011-01-05,spring,2011,Jan,21,43
2011-01-05,spring,2011,Jan,22,42
2011-01-05,spring,2011,Jan,23,19
2011-01-06,spring,2011,Jan,0,11
2011-01-06,spring,2011,Jan,1,4
2011-01-06,spring,2011,Jan,2,2
2011-01-06,spring,2011,Jan,4,1
2011-01-06,spring,2011,Jan,5,4
2011-01-06,spring,2011,Jan,6,36
2011-01-06,spring,2011,Jan,7,95
2011-01-06,spring,2011,Jan,8,219
2011-01-06,spring,2011,Jan,9,122
2011-01-06,spring,2011,Jan,10,45
2011-01-06,spring,2011,Jan,11,59
2011-01-06,spring,2011,Jan,12,84
2011-01-06,spring,2011,Jan,13,67
2011-01-06,spring,2011,Jan,14,70
2011-01-06,spring,2011,Jan,15,62
2011-01-06,spring,2011,Jan,16,86
2011-01-06,spring,2011,Jan,17,172
2011-01-06,spring,2011,Jan,18,163
2011-01-06,spring,2011,Jan,19,112
2011-01-06,spring,2011,Jan,20,69
2011-01-06,spring,2011,Jan,21,48
2011-01-06,spring,2011,Jan,22,52
2011-01-06,spring,2011,Jan,23,23
2011-01-07,spring,2011,Jan,0,17
2011-01-07,spring,2011,Jan,1,7
2011-01-07,spring,2011,Jan,2,1
2011-01-07,spring,2011,Jan,4,1
2011-01-07,spring,2011,Jan,5,5
2011-01-07,spring,2011,Jan,6,34
2011-01-07,spring,2011,Jan,7,84
2011-01-07,spring,2011,Jan,8,210
2011-01-07,spring,2011,Jan,9,134
2011-01-07,spring,2011,Jan,10,63
2011-01-07,spring,2011,Jan,11,67
2011-01-07,spring,2011,Jan,12,59
2011-01-07,spring,2011,Jan,13,73
2011-01-07,spring,2011,Jan,14,50
2011-01-07,spring,2011,Jan,15,72
2011-01-07,spring,2011,Jan,16,87
2011-01-07,spring,2011,Jan,17,187
2011-01-07,spring,2011,Jan,18,123
2011-01-07,spring,2011,Jan,19,95
2011-01-07,spring,2011,Jan,20,51
2011-01-07,spring,2011,Jan,21,39
2011-01-07,spring,2011,Jan,22,36
2011-01-07,spring,2011,Jan,23,15
2011-01-08,spring,2011,Jan,0,25
2011-01-08,spring,2011,Jan,1,16
2011-01-08,spring,2011,Jan,2,16
2011-01-08,spring,2011,Jan,3,7
2011-01-08,spring,2011,Jan,4,1
2011-01-08,spring,2011,Jan,5,5
2011-01-08,spring,2011,Jan,6,2
2011-01-08,spring,2011,Jan,7,9
2011-01-08,spring,2011,Jan,8,15
2011-01-08,spring,2011,Jan,9,20
2011-01-08,spring,2011,Jan,10,61
2011-01-08,spring,2011,Jan,11,62
2011-01-08,spring,2011,Jan,12,98
2011-01-08,spring,2011,Jan,13,102
2011-01-08,spring,2011,Jan,14,95
2011-01-08,spring,2011,Jan,15,74
